course,category,institution,type,skills,personality,inclination
Sustainability in Engineering with Business,Engineering & Technology,Post secondary,Polytechnic Diploma,"AI/ML, Business Management, Data Analysis, Decision Making, Engineering Design, Leadership, Mathematical Modeling, Mathematical Skills, Problem Solving, Research, Strategic Planning, Technical Drawing",Conscientiousness,Enterprising
Nursing,Healthcare & Medical Sciences,Post secondary,Polytechnic Diploma,"Communication, Empathy, Medical Knowledge, Patient Care",Agreeableness,Social
Oral Health Therapy,Healthcare & Medical Sciences,Post secondary,Polytechnic Diploma,"Assessment, Communication, Empathy, Medical Knowledge, Patient Care, Therapeutic Skills",Agreeableness,Social
Social Work,Humanities & Social Sciences,Post secondary,Polytechnic Diploma,"Adaptability, Critical Thinking, Learning",Extraversion,Social
Applied AI & Analytics,Computing & IT,Post secondary,Polytechnic Diploma,"AI/ML, Algorithm Design, Critical Thinking, Data Analysis, Data Visualization, Logical Thinking, Mathematical Modeling, Problem Solving, Programming, Research, Statistical Analysis",Conscientiousness,Investigative
Common ICT Programme,Computing & IT,Post secondary,Polytechnic Diploma,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
Cybersecurity & Digital Forensics,Computing & IT,Post secondary,Polytechnic Diploma,"Cybersecurity, Problem Solving, Risk Assessment, Technical Analysis",Conscientiousness,Investigative
Game Development & Technology,Computing & IT,Post secondary,Polytechnic Diploma,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
Information Technology,Computing & IT,Post secondary,Polytechnic Diploma,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
"Animation, Games & Visual Effects","Arts, Design & Visual Arts",Post secondary,Polytechnic Diploma,"Animation, Storytelling, Technical Skills, Video Editing",Openness,Artistic
Common Design & Media Programme,"Arts, Design & Visual Arts",Post secondary,Polytechnic Diploma,"Attention to Detail, CAD Design, Communication, Creativity, Design Thinking, Media Production, Research, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication, Writing",Openness,Artistic
Communication & Motion Design,"Arts, Design & Visual Arts",Post secondary,Polytechnic Diploma,"Attention to Detail, CAD Design, Communication, Creativity, Design Thinking, Media Production, Research, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication, Writing",Openness,Artistic
Experiential Product & Interior Design,"Arts, Design & Visual Arts",Post secondary,Polytechnic Diploma,"Client Management, Creativity, Design, Design Thinking, Software Proficiency, Spatial Reasoning, Visual Communication",Openness,Artistic
Biomedical Science,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Biology, Communication, Empathy, Laboratory Skills, Medical Knowledge, Observation, Patient Care, Research, Scientific Method",Conscientiousness,Investigative
Common Science Programme,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Observation, Research, Scientific Method",Conscientiousness,Investigative
Pharmaceutical Science,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Skills, Analytical Thinking, Chemistry, Laboratory Skills, Observation, Research, Scientific Method",Conscientiousness,Investigative
Chemical & Biomolecular Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Analytical Skills, Chemistry, Engineering Design, Laboratory Skills, Mathematical Skills, Problem Solving, Scientific Method, Technical Drawing",Conscientiousness,Realistic
Environmental Science & Sustainability,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"AI/ML, Analytical Thinking, Data Analysis, Mathematical Modeling, Observation, Research, Scientific Method",Conscientiousness,Investigative
Landscape Design & Horticulture,Engineering & Technology,Post secondary,Polytechnic Diploma,"Attention to Detail, CAD Design, Creativity, Design Thinking, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Hotel & Leisure Facilities Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Communication, Customer Service, Decision Making, Leadership, Organization, Strategic Planning, Team Management",Extraversion,Enterprising
Accountancy,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Extraversion,Enterprising
Arts Business Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Artistic Expression, Business Management, Creativity, Decision Making, Leadership, Observation, Strategic Planning, Visual Arts",Openness,Artistic
Banking & Finance,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Conscientiousness,Enterprising
Business Studies,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Common Business Programme,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
International Trade & Business,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Real Estate Business,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Tourism & Resort Management,"Business, Finance & Management",Post secondary,Polytechnic Diploma,"Business Management, Communication, Customer Service, Decision Making, Leadership, Organization, Strategic Planning, Team Management",Extraversion,Enterprising
Aerospace Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Biomedical Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Biology, Communication, Empathy, Engineering Design, Laboratory Skills, Mathematical Skills, Medical Knowledge, Patient Care, Problem Solving, Research, Scientific Method, Technical Drawing",Conscientiousness,Investigative
Common Engineering Programme,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Electrical Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Electronic & Computer Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Engineering Science,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Engineering Design, Mathematical Skills, Observation, Problem Solving, Research, Scientific Method, Technical Drawing",Conscientiousness,Investigative
Mechanical Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Mechatronics & Robotics,Engineering & Technology,Post secondary,Polytechnic Diploma,"Automation, Engineering, Problem Solving, Programming, Robotics, Systems Integration",Conscientiousness,Realistic
Nursing,Healthcare & Medical Sciences,Post secondary,Polytechnic Diploma,"Communication, Empathy, Medical Knowledge, Patient Care",Agreeableness,Social
Optometry,Healthcare & Medical Sciences,Post secondary,Polytechnic Diploma,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Chinese Studies,Languages & Literature,Post secondary,Polytechnic Diploma,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Psychology & Community Development,Humanities & Social Sciences,Post secondary,Polytechnic Diploma,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Early Childhood Development & Education,Education,Post secondary,Polytechnic Diploma,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Tamil Studies with Early Education,Languages & Literature,Post secondary,Polytechnic Diploma,"Communication, Cultural Awareness, Language Proficiency, Writing",Agreeableness,Social
Common ICT Programme,Computing & IT,Post secondary,Polytechnic Diploma,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
Computing with Law,Computing & IT,Post secondary,Polytechnic Diploma,"Algorithm Design, Logical Thinking, Problem Solving, Programming",Conscientiousness,Enterprising
Cybersecurity & Digital Forensics,Computing & IT,Post secondary,Polytechnic Diploma,"Cybersecurity, Problem Solving, Risk Assessment, Technical Analysis",Conscientiousness,Investigative
Data Science,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Critical Thinking, Data Analysis, Data Visualization, Statistical Analysis",Conscientiousness,Investigative
Information Technology,Computing & IT,Post secondary,Polytechnic Diploma,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
Offshore & Sustainable Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"AI/ML, Data Analysis, Engineering Design, Mathematical Modeling, Mathematical Skills, Problem Solving, Research, Technical Drawing",Conscientiousness,Realistic
Chinese Media & Communication,Media & Communication,Post secondary,Polytechnic Diploma,"Communication, Cultural Awareness, Language Proficiency, Media Production, Research, Writing",Openness,Artistic
Common Media Programme,Media & Communication,Post secondary,Polytechnic Diploma,"Communication, Media Production, Research, Writing",Openness,Artistic
Mass Communication,Media & Communication,Post secondary,Polytechnic Diploma,"Communication, Media Production, Research, Writing",Openness,Artistic
Media Post-Production,Media & Communication,Post secondary,Polytechnic Diploma,"Communication, Media Production, Research, Writing",Openness,Artistic
"Film, Sound & Video",Media & Communication,Post secondary,Polytechnic Diploma,"Animation, Storytelling, Technical Skills, Video Editing",Openness,Artistic
Design,"Arts, Design & Visual Arts",Post secondary,Polytechnic Diploma,"Attention to Detail, CAD Design, Creativity, Design Thinking, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Applied Chemistry,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Algorithm Design, Analytical Skills, Chemistry, Laboratory Skills, Logical Thinking, Problem Solving, Programming, Scientific Method",Conscientiousness,Investigative
Biomedical Science,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Biology, Communication, Empathy, Laboratory Skills, Medical Knowledge, Observation, Patient Care, Research, Scientific Method",Conscientiousness,Investigative
Chemical Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Analytical Skills, Chemistry, Engineering Design, Laboratory Skills, Mathematical Skills, Problem Solving, Scientific Method, Technical Drawing",Conscientiousness,Realistic
Common Science Programme,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Observation, Research, Scientific Method",Conscientiousness,Investigative
Food Science & Technology,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Attention to Detail, Creativity, Culinary Skills, Observation, Research, Scientific Method, Time Management",Conscientiousness,Investigative
Perfumery & Cosmetic Science,STEM - Science & Mathematics,Post secondary,Polytechnic Diploma,"Analytical Thinking, Observation, Research, Scientific Method",Conscientiousness,Investigative
Architecture,Built Environment & Architecture,Post secondary,Polytechnic Diploma,"Adaptability, Critical Thinking, Learning",Conscientiousness,Investigative
Civil Engineering,Engineering & Technology,Post secondary,Polytechnic Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
